"filename", "language", "Python", "YAML", "JSON", "comment", "blank", "total"
"/data/zero/zero/expForwardKinematics/dataset/dataset_expbase_voxel_augment.py", "Python", 345, 0, 0, 72, 89, 506
"/data/zero/zero/expForwardKinematics/dataset/dataset_origin.py", "Python", 387, 0, 0, 43, 78, 508
"/data/zero/zero/expForwardKinematics/eval_DP_PTV3.py", "Python", 337, 0, 0, 36, 82, 455
"/data/zero/zero/expForwardKinematics/eval_LongHorizon.py", "Python", 481, 0, 0, 42, 107, 630
"/data/zero/zero/expForwardKinematics/eval_expbase.py", "Python", 490, 0, 0, 38, 102, 630
"/data/zero/zero/expForwardKinematics/models/Base/BaseAll.py", "Python", 41, 0, 0, 0, 13, 54
"/data/zero/zero/expForwardKinematics/models/DAFC/Policy.py", "Python", 484, 0, 0, 88, 101, 673
"/data/zero/zero/expForwardKinematics/models/DAFC/components/clip.py", "Python", 34, 0, 0, 1, 9, 44
"/data/zero/zero/expForwardKinematics/models/DAFC/components/layers.py", "Python", 415, 0, 0, 15, 60, 490
"/data/zero/zero/expForwardKinematics/models/DAFC/components/multihead_custom_attention.py", "Python", 401, 0, 0, 18, 49, 468
"/data/zero/zero/expForwardKinematics/models/DAFC/components/position_encodings.py", "Python", 112, 0, 0, 0, 32, 144
"/data/zero/zero/expForwardKinematics/models/DAFC/components/resnet.py", "Python", 49, 0, 0, 1, 11, 61
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D/Policy.py", "Python", 487, 0, 0, 88, 107, 682
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D/Policy_significant_change.py", "Python", 487, 0, 0, 88, 107, 682
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D/components/clip.py", "Python", 34, 0, 0, 1, 9, 44
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D/components/layers.py", "Python", 415, 0, 0, 15, 58, 488
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D/components/multihead_custom_attention.py", "Python", 401, 0, 0, 18, 49, 468
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D/components/position_encodings.py", "Python", 112, 0, 0, 0, 32, 144
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D/components/resnet.py", "Python", 49, 0, 0, 1, 11, 61
"/data/zero/zero/expForwardKinematics/models/DiffuserActor3D_original.py/policy.py", "Python", 553, 0, 0, 49, 68, 670
"/data/zero/zero/expForwardKinematics/models/FK/Policy.py", "Python", 342, 0, 0, 46, 110, 498
"/data/zero/zero/expForwardKinematics/models/FK/component/ddpm.py", "Python", 39, 0, 0, 1, 14, 54
"/data/zero/zero/expForwardKinematics/models/FK/component/ddpm_copy.py", "Python", 77, 0, 0, 3, 22, 102
"/data/zero/zero/expForwardKinematics/models/FK/component/test.py", "Python", 5, 0, 0, 0, 4, 9
"/data/zero/zero/expForwardKinematics/models/clean/PointTransformerV3/model.py", "Python", 946, 0, 0, 56, 107, 1109
"/data/zero/zero/expForwardKinematics/models/clean/PointTransformerV3/model_ca.py", "Python", 399, 0, 0, 18, 39, 456
"/data/zero/zero/expForwardKinematics/models/clean/PointTransformerV3/serialization/__init__.py", "Python", 8, 0, 0, 0, 1, 9
"/data/zero/zero/expForwardKinematics/models/clean/PointTransformerV3/serialization/default.py", "Python", 46, 0, 0, 1, 13, 60
"/data/zero/zero/expForwardKinematics/models/clean/PointTransformerV3/serialization/hilbert.py", "Python", 190, 0, 0, 42, 72, 304
"/data/zero/zero/expForwardKinematics/models/clean/PointTransformerV3/serialization/z_order.py", "Python", 96, 0, 0, 6, 25, 127
"/data/zero/zero/expForwardKinematics/models/clean/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/data/zero/zero/expForwardKinematics/models/clean/base.py", "Python", 64, 0, 0, 0, 16, 80
"/data/zero/zero/expForwardKinematics/models/clean/optim/__init__.py", "Python", 6, 0, 0, 0, 2, 8
"/data/zero/zero/expForwardKinematics/models/clean/optim/adamw.py", "Python", 81, 0, 0, 13, 20, 114
"/data/zero/zero/expForwardKinematics/models/clean/optim/lookahead.py", "Python", 81, 0, 0, 7, 10, 98
"/data/zero/zero/expForwardKinematics/models/clean/optim/misc.py", "Python", 49, 0, 0, 1, 7, 57
"/data/zero/zero/expForwardKinematics/models/clean/optim/radam.py", "Python", 148, 0, 0, 4, 58, 210
"/data/zero/zero/expForwardKinematics/models/clean/optim/ralamb.py", "Python", 71, 0, 0, 6, 23, 100
"/data/zero/zero/expForwardKinematics/models/clean/optim/rangerlars.py", "Python", 8, 0, 0, 3, 4, 15
"/data/zero/zero/expForwardKinematics/models/clean/optim/sched.py", "Python", 95, 0, 0, 2, 17, 114
"/data/zero/zero/expForwardKinematics/models/clean/test_model_expbase.py", "Python", 220, 0, 0, 19, 49, 288
"/data/zero/zero/expForwardKinematics/models/clean/utils/action_position_utils.py", "Python", 68, 0, 0, 36, 13, 117
"/data/zero/zero/expForwardKinematics/models/clean/utils/point_cloud.py", "Python", 34, 0, 0, 1, 13, 48
"/data/zero/zero/expForwardKinematics/models/clean/utils/rlbench_keystep_detection.py", "Python", 37, 0, 0, 1, 10, 48
"/data/zero/zero/expForwardKinematics/models/clean/utils/robot_box.py", "Python", 73, 0, 0, 0, 16, 89
"/data/zero/zero/expForwardKinematics/models/clean/utils/rotation_transform.py", "Python", 158, 0, 0, 9, 30, 197
"/data/zero/zero/expForwardKinematics/models/dp2d/components/PointTransformerV3/model.py", "Python", 946, 0, 0, 56, 107, 1109
"/data/zero/zero/expForwardKinematics/models/dp2d/components/PointTransformerV3/model_ca.py", "Python", 399, 0, 0, 18, 39, 456
"/data/zero/zero/expForwardKinematics/models/dp2d/components/PointTransformerV3/serialization/__init__.py", "Python", 8, 0, 0, 0, 1, 9
"/data/zero/zero/expForwardKinematics/models/dp2d/components/PointTransformerV3/serialization/default.py", "Python", 46, 0, 0, 1, 13, 60
"/data/zero/zero/expForwardKinematics/models/dp2d/components/PointTransformerV3/serialization/hilbert.py", "Python", 190, 0, 0, 42, 72, 304
"/data/zero/zero/expForwardKinematics/models/dp2d/components/PointTransformerV3/serialization/z_order.py", "Python", 96, 0, 0, 6, 25, 127
"/data/zero/zero/expForwardKinematics/models/dp2d/components/diffusion/conditional_unet1d.py", "Python", 182, 0, 0, 10, 37, 229
"/data/zero/zero/expForwardKinematics/models/dp2d/components/diffusion/conditionalunet2d.py", "Python", 183, 0, 0, 8, 45, 236
"/data/zero/zero/expForwardKinematics/models/dp2d/components/diffusion/conv2d_components.py", "Python", 75, 0, 0, 9, 31, 115
"/data/zero/zero/expForwardKinematics/models/dp2d/components/diffusion/pe.py", "Python", 15, 0, 0, 0, 4, 19
"/data/zero/zero/expForwardKinematics/models/dp2d/ptv3_DP1d_policy.py", "Python", 163, 0, 0, 28, 51, 242
"/data/zero/zero/expForwardKinematics/models/lotus/PointTransformerV3/model.py", "Python", 946, 0, 0, 56, 107, 1109
"/data/zero/zero/expForwardKinematics/models/lotus/PointTransformerV3/model_ca.py", "Python", 399, 0, 0, 18, 39, 456
"/data/zero/zero/expForwardKinematics/models/lotus/PointTransformerV3/serialization/__init__.py", "Python", 8, 0, 0, 0, 1, 9
"/data/zero/zero/expForwardKinematics/models/lotus/PointTransformerV3/serialization/default.py", "Python", 46, 0, 0, 1, 13, 60
"/data/zero/zero/expForwardKinematics/models/lotus/PointTransformerV3/serialization/hilbert.py", "Python", 190, 0, 0, 42, 72, 304
"/data/zero/zero/expForwardKinematics/models/lotus/PointTransformerV3/serialization/z_order.py", "Python", 96, 0, 0, 6, 25, 127
"/data/zero/zero/expForwardKinematics/models/lotus/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/data/zero/zero/expForwardKinematics/models/lotus/assets/task_new_keystep_ids.json", "JSON", 0, 0, 113, 0, 1, 114
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_instructions_new.json", "JSON", 0, 0, 594, 0, 0, 594
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_instructions_peract.json", "JSON", 0, 0, 1583, 0, 0, 1583
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_peract.json", "JSON", 0, 0, 251, 0, 0, 251
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_target_label_zrange.json", "JSON", 0, 0, 1968, 0, 3, 1971
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_test_l2.json", "JSON", 0, 0, 30, 0, 1, 31
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_test_l3.json", "JSON", 0, 0, 23, 0, 0, 23
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_test_l4.json", "JSON", 0, 0, 14, 0, 0, 14
"/data/zero/zero/expForwardKinematics/models/lotus/assets/taskvars_train.json", "JSON", 0, 0, 33, 0, 0, 33
"/data/zero/zero/expForwardKinematics/models/lotus/base.py", "Python", 64, 0, 0, 0, 16, 80
"/data/zero/zero/expForwardKinematics/models/lotus/model_expbase.py", "Python", 604, 0, 0, 46, 78, 728
"/data/zero/zero/expForwardKinematics/models/lotus/optim/__init__.py", "Python", 6, 0, 0, 0, 2, 8
"/data/zero/zero/expForwardKinematics/models/lotus/optim/adamw.py", "Python", 81, 0, 0, 13, 20, 114
"/data/zero/zero/expForwardKinematics/models/lotus/optim/lookahead.py", "Python", 81, 0, 0, 7, 10, 98
"/data/zero/zero/expForwardKinematics/models/lotus/optim/misc.py", "Python", 49, 0, 0, 1, 7, 57
"/data/zero/zero/expForwardKinematics/models/lotus/optim/radam.py", "Python", 148, 0, 0, 4, 58, 210
"/data/zero/zero/expForwardKinematics/models/lotus/optim/ralamb.py", "Python", 71, 0, 0, 6, 23, 100
"/data/zero/zero/expForwardKinematics/models/lotus/optim/rangerlars.py", "Python", 8, 0, 0, 3, 4, 15
"/data/zero/zero/expForwardKinematics/models/lotus/optim/sched.py", "Python", 95, 0, 0, 2, 17, 114
"/data/zero/zero/expForwardKinematics/models/lotus/policy.py", "Python", 0, 0, 0, 0, 1, 1
"/data/zero/zero/expForwardKinematics/models/lotus/utils/action_position_utils.py", "Python", 68, 0, 0, 120, 24, 212
"/data/zero/zero/expForwardKinematics/models/lotus/utils/point_cloud.py", "Python", 34, 0, 0, 1, 13, 48
"/data/zero/zero/expForwardKinematics/models/lotus/utils/rlbench_keystep_detection.py", "Python", 37, 0, 0, 1, 10, 48
"/data/zero/zero/expForwardKinematics/models/lotus/utils/robot_box.py", "Python", 45, 0, 0, 35, 18, 98
"/data/zero/zero/expForwardKinematics/models/lotus/utils/rotation_transform.py", "Python", 158, 0, 0, 9, 30, 197
"/data/zero/zero/expForwardKinematics/trainer_DA3D.py", "Python", 100, 0, 0, 30, 35, 165
"/data/zero/zero/expForwardKinematics/trainer_DP.py", "Python", 119, 0, 0, 30, 36, 185
"/data/zero/zero/expForwardKinematics/trainer_FK.py", "Python", 102, 0, 0, 32, 35, 169
"/data/zero/zero/expForwardKinematics/trainer_expbase.py", "Python", 243, 0, 0, 54, 58, 355
"/data/zero/zero/expForwardKinematics/visualization.py", "Python", 1, 0, 0, 0, 1, 2
"Total", "-", 18074, 491, 4609, 1985, 3752, 28911
